trade_id,date,symbol,quantity,price,client_id
T000001,2025-02-21,GOOGL,759,460.39,C2436
T000002,2025-01-15,NFLX,859,429.08,C4181
T000003,2025-03-13,AMZN,670,88.56,C0955
T000004,2025-03-02,NFLX,641,145.16,C0445
T000005,2025-01-21,TSLA,590,105.3,C3756
T000006,2025-03-24,AMZN,-419,779.57,C2518
T000007,2025-03-28,MSFT,534,721.52,C2245
T000008,2025-03-16,AAPL,-253,432.27,C0774
T000009,2025-03-16,MSFT,629,135.01,C2169
T000010,2025-03-29,AMZN,385,797.39,C4058
T000011,2025-01-24,NFLX,906,238.76,C2363
T000012,2025-01-03,META,456,554.8,C3147
T000013,2025-01-22,NFLX,-466,168.56,C3066
T000014,2025-02-22,AMZN,917,684.71,C1928
T000015,2025-01-02,AAPL,-118,372.55,C1780
T000016,2025-03-29,MSFT,888,707.27,C2841
T000017,2025-01-30,MSFT,31,442.02,C3082
T000018,2025-02-07,NFLX,768,227.48,C1469
T000019,2025-01-02,AMZN,-278,176.39,C3634
T000020,2025-03-05,TSLA,119,126.73,C0534
T000021,2025-03-01,META,-144,215.36,C1697
T000022,2025-01-21,META,-132,602.31,C1245
T000023,2025-02-02,GOOGL,772,110.93,C0666
T000024,2025-03-17,AMZN,92,197.16,C3328
T000025,2025-02-27,AMZN,-410,164.98,C2587
T000026,2025-01-22,META,336,276.15,C2992
T000027,2025-03-30,GOOGL,413,474.33,C3694
T000028,2025-02-18,AAPL,-161,135.57,C2025
T000029,2025-02-28,AMZN,80,340.04,C3508
T000030,2025-02-11,TSLA,561,657.88,C0494
T000031,2025-03-01,AAPL,542,77.36,C4548
T000032,2025-03-21,AAPL,378,307.36,C1155
T000033,2025-01-15,AAPL,638,108.51,C1039
T000034,2025-03-03,AMZN,-355,587.14,C0983
T000035,2025-03-03,META,961,778.51,C1046
T000036,2025-02-16,AAPL,648,93.24,C2003
T000037,2025-03-03,MSFT,-389,465.85,C0609
T000038,2025-02-20,AMZN,-434,171.26,C2090
T000039,2025-02-24,AMZN,-252,743.76,C3276
T000040,2025-03-05,GOOGL,-25,54.71,C0752
T000041,2025-01-03,META,-4,332.88,C0311
T000042,2025-02-20,AAPL,-370,592.43,C4783
T000043,2025-01-07,AMZN,920,547.45,C2949
T000044,2025-01-21,NFLX,599,376.25,C0705
T000045,2025-03-14,META,136,436.12,C0045
T000046,2025-02-08,TSLA,784,160.86,C2867
T000047,2025-01-18,TSLA,-293,169.42,C0478
T000048,2025-01-04,META,118,635.63,C1844
T000049,2025-03-30,AMZN,286,385.94,C2529
T000050,2025-03-01,AMZN,341,352.68,C2429
T000051,2025-01-14,TSLA,10,135.65,C3337
T000052,2025-01-09,NFLX,420,613.29,C0490
T000053,2025-03-31,TSLA,833,445.44,C2556
T000054,2025-02-22,MSFT,56,517.85,C4266
T000055,2025-01-02,TSLA,2,277.72,C4490
T000056,2025-03-25,NFLX,65,187.38,C0467
T000057,2025-03-01,NFLX,625,535.53,C3966
T000058,2025-03-12,MSFT,300,456.3,C3080
T000059,2025-02-13,AMZN,935,82.59,C3338
T000060,2025-01-08,AAPL,156,88.62,C3400
T000061,2025-02-16,META,-482,778.18,C1504
T000062,2025-02-04,META,356,291.68,C4046
T000063,2025-03-19,META,-205,757.85,C3519
T000064,2025-03-22,AAPL,-203,478.45,C2147
T000065,2025-02-05,GOOGL,830,188.66,C0728
T000066,2025-02-19,META,569,376.87,C1755
T000067,2025-01-04,MSFT,674,610.23,C4314
T000068,2025-01-02,TSLA,286,761.72,C2929
T000069,2025-01-06,MSFT,324,775.03,C4034
T000070,2025-02-23,GOOGL,-384,252.23,C1961
T000071,2025-01-04,NFLX,710,200.26,C1819
T000072,2025-02-23,GOOGL,-165,498.91,C4908
T000073,2025-03-04,MSFT,548,113.17,C1650
T000074,2025-01-18,TSLA,743,564.63,C2307
T000075,2025-03-31,AMZN,554,492.71,C3534
T000076,2025-02-13,AMZN,767,278.1,C4313
T000077,2025-02-03,AMZN,210,208.79,C0967
T000078,2025-03-15,META,249,797.66,C1801
T000079,2025-03-03,GOOGL,879,352.18,C1445
T000080,2025-01-14,META,-354,526.57,C4348
T000081,2025-02-17,MSFT,-425,600.63,C1459
T000082,2025-01-15,GOOGL,429,737.29,C3667
T000083,2025-03-13,TSLA,-117,585.17,C3089
T000084,2025-03-19,META,395,713.44,C2099
T000085,2025-03-28,AAPL,-160,286.03,C0888
T000086,2025-03-03,GOOGL,-430,102.29,C3072
T000087,2025-02-09,TSLA,-247,390.62,C0645
T000088,2025-03-26,NFLX,82,663.16,C0268
T000089,2025-03-21,TSLA,810,462.49,C3367
T000090,2025-03-23,TSLA,-80,508.83,C4507
T000091,2025-02-22,AAPL,-265,442.61,C2143
T000092,2025-01-24,AMZN,345,70.85,C4896
T000093,2025-01-26,MSFT,582,309.91,C3704
T000094,2025-03-30,GOOGL,-213,528.73,C1445
T000095,2025-03-01,AAPL,613,305.77,C1638
T000096,2025-02-10,TSLA,467,789.46,C3544
T000097,2025-01-29,AAPL,985,148.92,C3016
T000098,2025-01-15,GOOGL,393,598.72,C3096
T000099,2025-02-14,MSFT,458,711.09,C2128
T000100,2025-03-06,GOOGL,-356,538.8,C3865
T000101,2025-03-30,NFLX,836,261.86,C3440
T000102,2025-03-12,META,-99,96.21,C1690
T000103,2025-01-09,AAPL,-438,638.8,C3236
T000104,2025-03-29,META,443,167.07,C0139
T000105,2025-01-01,TSLA,869,558.39,C3947
T000106,2025-01-08,META,987,419.59,C1121
T000107,2025-03-29,TSLA,689,702.31,C2400
T000108,2025-03-04,AMZN,113,386.38,C3076
T000109,2025-01-11,AMZN,-60,326.04,C2747
T000110,2025-03-22,MSFT,624,373.16,C3777
T000111,2025-01-08,MSFT,733,220.3,C4456
T000112,2025-02-04,META,834,798.53,C0355
T000113,2025-02-04,META,-333,538.16,C3874
T000114,2025-02-02,AMZN,747,78.06,C2769
T000115,2025-01-05,AMZN,474,301.96,C4775
T000116,2025-02-10,GOOGL,101,304.8,C3244
T000117,2025-01-28,GOOGL,245,272.5,C3208
T000118,2025-01-07,META,654,467.57,C1267
T000119,2025-03-14,TSLA,-131,349.52,C0050
T000120,2025-03-13,NFLX,-164,737.05,C4552
T000121,2025-01-12,META,341,260.91,C2013
T000122,2025-02-03,TSLA,136,655.93,C3856
T000123,2025-02-02,AMZN,817,619.26,C0092
T000124,2025-02-17,GOOGL,887,716.45,C3344
T000125,2025-01-23,AMZN,272,345.19,C0331
T000126,2025-03-03,AMZN,-248,145.13,C2611
T000127,2025-03-29,MSFT,777,696.32,C2840
T000128,2025-02-06,AMZN,444,338.51,C1128
T000129,2025-02-13,TSLA,-279,321.89,C1700
T000130,2025-03-27,MSFT,571,123.66,C2793
T000131,2025-02-04,GOOGL,-441,669.08,C2191
T000132,2025-03-06,TSLA,-380,637.23,C0392
T000133,2025-02-16,AAPL,988,68.24,C3462
T000134,2025-03-19,GOOGL,277,602.2,C3891
T000135,2025-01-03,META,912,203.28,C2963
T000136,2025-01-01,AAPL,4,673.4,C0578
T000137,2025-01-05,TSLA,778,69.48,C4290
T000138,2025-03-31,GOOGL,436,277.86,C0790
T000139,2025-01-14,AAPL,290,129.81,C1706
T000140,2025-01-27,AAPL,-150,559.92,C0372
T000141,2025-01-09,GOOGL,901,568.85,C4022
T000142,2025-03-20,AMZN,412,614.12,C3145
T000143,2025-01-15,NFLX,-70,454.54,C4824
T000144,2025-03-31,TSLA,753,410.2,C4356
T000145,2025-02-11,TSLA,370,779.46,C0003
T000146,2025-03-18,MSFT,-116,459.3,C1238
T000147,2025-02-20,GOOGL,119,685.24,C2119
T000148,2025-03-04,TSLA,688,303.79,C0593
T000149,2025-02-21,AAPL,400,462.82,C1946
T000150,2025-01-04,GOOGL,-50,136.0,C3243
T000151,2025-01-23,META,242,434.48,C0935
T000152,2025-01-15,AAPL,-498,778.2,C4182
T000153,2025-02-12,GOOGL,-497,285.29,C1771
T000154,2025-01-29,AAPL,117,53.07,C3363
T000155,2025-02-05,AAPL,-465,704.14,C0298
T000156,2025-01-13,GOOGL,20,397.21,C0680
T000157,2025-02-01,MSFT,-265,100.11,C4277
T000158,2025-03-12,NFLX,-124,540.3,C2681
T000159,2025-02-28,NFLX,91,638.03,C4110
T000160,2025-03-27,AAPL,-406,438.62,C2412
T000161,2025-01-28,GOOGL,683,144.99,C2354
T000162,2025-03-07,AMZN,-139,758.55,C2900
T000163,2025-02-11,META,381,253.84,C0677
T000164,2025-02-14,AMZN,-252,569.17,C4309
T000165,2025-03-03,META,955,612.86,C3393
T000166,2025-02-26,NFLX,725,396.72,C0338
T000167,2025-01-06,NFLX,-132,679.33,C2776
T000168,2025-01-28,NFLX,-336,430.89,C3021
T000169,2025-01-28,MSFT,101,216.75,C1057
T000170,2025-02-13,GOOGL,81,577.32,C3001
T000171,2025-03-25,META,597,433.92,C2397
T000172,2025-01-30,MSFT,29,601.37,C3494
T000173,2025-03-03,META,-437,420.37,C3360
T000174,2025-03-16,AAPL,380,710.9,C1496
T000175,2025-03-30,META,544,796.12,C3227
T000176,2025-03-03,META,827,536.54,C4447
T000177,2025-01-01,AMZN,279,646.0,C1317
T000178,2025-01-27,MSFT,-103,86.81,C2819
T000179,2025-03-03,AAPL,301,170.73,C3406
T000180,2025-03-18,NFLX,901,119.34,C0334
T000181,2025-01-03,AMZN,559,485.94,C3394
T000182,2025-03-11,MSFT,-52,241.23,C4176
T000183,2025-03-13,AAPL,522,344.23,C3389
T000184,2025-01-27,META,-47,387.74,C2214
T000185,2025-01-09,TSLA,-321,435.72,C3991
T000186,2025-03-03,AMZN,31,717.3,C1277
T000187,2025-02-06,AAPL,209,307.12,C3310
T000188,2025-02-20,NFLX,-154,212.74,C4858
T000189,2025-02-13,TSLA,-383,148.68,C0132
T000190,2025-01-24,MSFT,523,242.82,C2972
T000191,2025-03-20,TSLA,-122,544.77,C1657
T000192,2025-02-28,META,-124,706.94,C0987
T000193,2025-02-01,AMZN,-253,184.82,C4240
T000194,2025-03-29,GOOGL,995,762.45,C4613
T000195,2025-02-21,MSFT,756,110.1,C1417
T000196,2025-03-03,TSLA,799,326.04,C2316
T000197,2025-02-27,AAPL,738,392.58,C3416
T000198,2025-02-21,GOOGL,-432,94.42,C0512
T000199,2025-01-12,GOOGL,-258,728.1,C3942
T000200,2025-02-08,MSFT,-434,277.92,C0279
T000201,2025-01-02,TSLA,810,522.94,C1163
T000202,2025-01-03,AMZN,842,173.68,C2803
T000203,2025-02-25,TSLA,447,718.78,C2326
T000204,2025-03-22,TSLA,362,688.31,C4307
T000205,2025-02-28,MSFT,856,158.44,C3579
T000206,2025-01-02,MSFT,-201,466.03,C4870
T000207,2025-01-02,AAPL,378,169.44,C1736
T000208,2025-02-23,AMZN,-373,733.67,C3427
T000209,2025-03-28,NFLX,-377,415.45,C4761
T000210,2025-01-01,MSFT,-383,133.02,C0719
T000211,2025-01-19,AAPL,121,372.67,C2301
T000212,2025-01-02,META,674,288.33,C4131
T000213,2025-02-22,GOOGL,745,284.87,C2667
T000214,2025-02-13,AAPL,604,356.83,C2844
T000215,2025-03-31,AMZN,635,493.99,C0242
T000216,2025-02-01,AAPL,-127,573.02,C0318
T000217,2025-03-11,META,992,183.81,C3795
T000218,2025-02-01,AAPL,973,264.06,C0057
T000219,2025-03-09,MSFT,859,223.78,C1348
T000220,2025-02-24,AMZN,-373,785.9,C2314
T000221,2025-03-16,AAPL,33,693.91,C3823
T000222,2025-02-25,NFLX,988,603.83,C0157
T000223,2025-01-17,TSLA,308,210.24,C2757
T000224,2025-02-07,AAPL,385,408.2,C3332
T000225,2025-01-24,NFLX,-402,348.45,C3710
T000226,2025-03-10,GOOGL,77,390.78,C0514
T000227,2025-03-11,GOOGL,650,787.21,C4100
T000228,2025-03-27,AAPL,228,588.85,C3010
T000229,2025-01-11,META,37,326.7,C2630
T000230,2025-01-16,AAPL,631,110.67,C2704
T000231,2025-03-14,TSLA,327,276.95,C4972
T000232,2025-02-28,AAPL,938,118.26,C0734
T000233,2025-03-11,MSFT,257,635.49,C3796
T000234,2025-03-21,NFLX,-340,142.31,C1432
T000235,2025-01-03,AMZN,93,158.7,C2215
T000236,2025-01-20,META,893,291.86,C2297
T000237,2025-02-28,TSLA,900,563.86,C0773
T000238,2025-02-05,AAPL,-4,166.48,C1736
T000239,2025-01-19,META,483,356.45,C3937
T000240,2025-03-31,MSFT,-487,204.74,C1807
T000241,2025-03-08,META,291,616.78,C4991
T000242,2025-01-19,AAPL,-141,312.63,C2668
T000243,2025-01-20,TSLA,-432,366.41,C4117
T000244,2025-03-12,TSLA,-316,597.32,C3067
T000245,2025-02-21,GOOGL,-146,379.2,C4801
T000246,2025-02-02,GOOGL,822,360.16,C0346
T000247,2025-02-09,AAPL,386,133.87,C0269
T000248,2025-02-08,NFLX,712,291.67,C2425
T000249,2025-03-23,AMZN,878,665.54,C3270
T000250,2025-01-01,MSFT,491,488.15,C1403
T000251,2025-01-11,GOOGL,-124,252.35,C3328
T000252,2025-02-26,NFLX,-87,709.29,C3936
T000253,2025-03-30,GOOGL,-165,707.11,C3023
T000254,2025-02-19,NFLX,49,395.07,C4757
T000255,2025-01-23,AMZN,589,484.01,C2406
T000256,2025-01-31,META,377,230.87,C4632
T000257,2025-02-11,TSLA,852,614.58,C4539
T000258,2025-01-07,AAPL,204,168.36,C1587
T000259,2025-01-16,AAPL,609,600.65,C2296
T000260,2025-03-31,MSFT,-160,114.74,C3569
T000261,2025-03-01,AMZN,669,622.95,C1475
T000262,2025-01-02,NFLX,934,203.22,C3023
T000263,2025-01-01,NFLX,-254,744.54,C1162
T000264,2025-02-17,META,-393,387.31,C1898
T000265,2025-01-12,AMZN,668,512.06,C4801
T000266,2025-03-10,AMZN,-118,656.99,C1550
T000267,2025-02-06,TSLA,643,83.18,C1440
T000268,2025-02-01,AMZN,917,621.88,C1958
T000269,2025-01-09,TSLA,101,248.29,C4243
T000270,2025-01-19,AAPL,987,207.28,C4518
T000271,2025-02-17,NFLX,278,630.46,C3766
T000272,2025-03-21,NFLX,-185,407.34,C3129
T000273,2025-01-03,TSLA,716,718.48,C3757
T000274,2025-01-20,AAPL,386,193.65,C2008
T000275,2025-01-24,NFLX,-402,531.28,C2829
T000276,2025-02-23,MSFT,602,518.23,C2533
T000277,2025-02-02,AMZN,427,670.62,C3463
T000278,2025-01-24,MSFT,120,559.78,C3841
T000279,2025-03-16,AMZN,259,279.99,C2062
T000280,2025-03-13,META,213,497.91,C2185
T000281,2025-02-05,MSFT,849,702.33,C2127
T000282,2025-02-07,GOOGL,-158,689.56,C3473
T000283,2025-03-25,GOOGL,-347,700.76,C1053
T000284,2025-03-30,TSLA,-496,450.81,C2664
T000285,2025-01-25,META,163,622.81,C0618
T000286,2025-01-18,MSFT,984,222.14,C1412
T000287,2025-03-23,AMZN,473,757.13,C3208
T000288,2025-03-07,AAPL,525,451.88,C3744
T000289,2025-02-23,TSLA,57,538.93,C1203
T000290,2025-02-04,META,764,491.24,C3675
T000291,2025-03-21,TSLA,677,147.78,C4204
T000292,2025-03-02,META,630,682.64,C0926
T000293,2025-02-10,GOOGL,938,309.26,C4228
T000294,2025-02-02,META,938,758.25,C3077
T000295,2025-03-09,MSFT,415,92.3,C3006
T000296,2025-02-02,MSFT,294,146.32,C2739
T000297,2025-01-14,META,713,238.03,C3045
T000298,2025-01-21,TSLA,371,365.31,C3858
T000299,2025-02-17,NFLX,374,387.01,C0403
T000300,2025-01-20,GOOGL,579,95.29,C4814
T000301,2025-01-08,AAPL,777,139.01,C4958
T000302,2025-01-07,GOOGL,697,221.47,C1603
T000303,2025-03-08,MSFT,921,561.91,C2990
T000304,2025-01-17,AAPL,628,148.53,C2749
T000305,2025-02-02,NFLX,337,605.41,C0835
T000306,2025-02-17,NFLX,136,529.88,C0675
T000307,2025-03-17,TSLA,471,438.83,C0286
T000308,2025-02-28,NFLX,402,419.25,C1347
T000309,2025-03-27,AAPL,987,525.54,C0728
T000310,2025-01-22,TSLA,370,442.77,C2727
T000311,2025-01-30,GOOGL,414,76.69,C1248
T000312,2025-02-07,AAPL,-252,502.94,C1756
T000313,2025-02-20,AMZN,174,170.24,C3807
T000314,2025-02-23,MSFT,6,694.04,C0913
T000315,2025-01-08,TSLA,-86,55.89,C2804
T000316,2025-01-27,AAPL,177,106.55,C1138
T000317,2025-01-27,AAPL,339,573.28,C2132
T000318,2025-01-21,NFLX,373,722.65,C1152
T000319,2025-01-30,META,313,731.8,C3009
T000320,2025-01-28,AMZN,469,494.3,C2918
T000321,2025-03-05,NFLX,604,648.59,C2482
T000322,2025-03-10,META,66,373.79,C4139
T000323,2025-03-02,META,-335,456.52,C3072
T000324,2025-02-17,META,745,724.41,C3293
T000325,2025-01-19,GOOGL,799,443.74,C1404
T000326,2025-01-04,AMZN,816,619.64,C4772
T000327,2025-02-04,AAPL,806,400.18,C0660
T000328,2025-03-05,MSFT,139,385.03,C2790
T000329,2025-02-18,AAPL,39,276.99,C0430
T000330,2025-01-17,AAPL,-263,521.36,C3492
T000331,2025-02-13,AAPL,13,706.81,C2787
T000332,2025-01-30,META,-61,252.83,C1704
T000333,2025-02-15,AMZN,-221,272.15,C2781
T000334,2025-01-06,NFLX,900,51.96,C0788
T000335,2025-02-06,AMZN,250,256.65,C2840
T000336,2025-01-24,TSLA,-442,758.02,C4906
T000337,2025-02-15,TSLA,871,645.17,C1543
T000338,2025-02-22,META,-208,644.7,C0929
T000339,2025-03-01,NFLX,584,689.91,C1401
T000340,2025-03-04,META,683,734.19,C1901
T000341,2025-03-26,TSLA,338,267.42,C4684
T000342,2025-02-01,AAPL,586,447.42,C4138
T000343,2025-03-28,TSLA,392,268.0,C1482
T000344,2025-02-02,NFLX,-363,468.85,C2055
T000345,2025-03-08,TSLA,-123,352.07,C4031
T000346,2025-01-18,GOOGL,-249,773.68,C3216
T000347,2025-01-25,META,-34,686.5,C3808
T000348,2025-02-23,META,472,691.42,C1560
T000349,2025-02-27,AMZN,-278,69.7,C2785
T000350,2025-03-08,TSLA,687,748.54,C0606
T000351,2025-02-15,AMZN,490,756.69,C2702
T000352,2025-01-24,MSFT,-158,698.79,C3553
T000353,2025-02-01,META,170,659.35,C3293
T000354,2025-02-16,GOOGL,457,120.34,C4529
T000355,2025-03-27,MSFT,539,452.27,C0077
T000356,2025-01-23,META,67,578.47,C4897
T000357,2025-03-07,AMZN,136,303.45,C2475
T000358,2025-01-27,AMZN,-31,128.66,C2702
T000359,2025-01-02,MSFT,-492,96.46,C3956
T000360,2025-03-31,TSLA,-288,264.42,C4015
T000361,2025-01-17,GOOGL,-123,139.5,C4584
T000362,2025-02-02,AMZN,189,754.62,C3504
T000363,2025-01-09,AAPL,524,687.0,C1219
T000364,2025-02-12,GOOGL,-455,478.09,C0471
T000365,2025-02-17,MSFT,90,77.98,C3242
T000366,2025-02-08,AMZN,313,275.66,C0859
T000367,2025-02-11,AMZN,806,101.95,C1331
T000368,2025-01-26,META,-404,206.5,C0487
T000369,2025-02-19,MSFT,925,578.26,C3229
T000370,2025-01-25,AAPL,849,653.39,C3358
T000371,2025-01-24,META,-461,446.16,C4284
T000372,2025-01-13,AAPL,722,233.26,C0741
T000373,2025-03-01,AMZN,813,532.33,C2707
T000374,2025-01-07,TSLA,873,723.58,C2802
T000375,2025-02-26,AAPL,-258,232.9,C0850
T000376,2025-02-05,AAPL,-314,73.91,C2734
T000377,2025-02-14,NFLX,-102,259.93,C0612
T000378,2025-01-20,TSLA,863,591.88,C1176
T000379,2025-03-06,NFLX,877,288.74,C1044
T000380,2025-01-08,META,631,735.24,C3403
T000381,2025-01-16,AAPL,535,171.28,C1018
T000382,2025-01-14,TSLA,-460,637.42,C3616
T000383,2025-03-17,NFLX,423,407.31,C3659
T000384,2025-03-28,MSFT,-14,153.55,C1504
T000385,2025-01-15,META,400,598.0,C0977
T000386,2025-03-07,GOOGL,-349,58.56,C2179
T000387,2025-02-01,GOOGL,40,522.13,C3101
T000388,2025-03-28,MSFT,680,705.71,C0285
T000389,2025-03-04,AAPL,-489,58.95,C2603
T000390,2025-03-27,GOOGL,19,531.91,C3429
T000391,2025-02-20,MSFT,446,73.47,C3978
T000392,2025-01-25,GOOGL,570,686.34,C4525
T000393,2025-02-27,AAPL,-5,706.03,C4343
T000394,2025-03-04,META,653,621.29,C4321
T000395,2025-03-03,TSLA,883,271.87,C1204
T000396,2025-01-22,NFLX,-383,296.09,C1101
T000397,2025-02-27,MSFT,249,250.29,C1558
T000398,2025-02-27,META,699,691.59,C1976
T000399,2025-03-27,GOOGL,317,269.83,C3679
T000400,2025-02-18,AAPL,-51,525.63,C4749
T000401,2025-02-21,META,-196,516.53,C3317
T000402,2025-02-11,GOOGL,-416,257.32,C2000
T000403,2025-03-11,AAPL,279,673.21,C0721
T000404,2025-01-15,AAPL,-383,491.6,C2304
T000405,2025-02-23,AAPL,762,290.46,C1572
T000406,2025-03-01,AAPL,627,329.26,C1665
T000407,2025-01-08,MSFT,-370,641.79,C1222
T000408,2025-02-22,META,-434,411.57,C3791
T000409,2025-03-01,TSLA,-376,629.3,C0670
T000410,2025-01-05,MSFT,803,409.74,C4023
T000411,2025-03-09,GOOGL,51,69.2,C0637
T000412,2025-01-06,MSFT,277,252.51,C2318
T000413,2025-02-16,MSFT,769,327.67,C4930
T000414,2025-02-24,GOOGL,615,740.38,C2414
T000415,2025-02-09,TSLA,587,772.88,C0483
T000416,2025-02-21,MSFT,137,482.34,C4526
T000417,2025-01-16,AAPL,-332,166.99,C1116
T000418,2025-01-13,MSFT,-193,586.31,C0437
T000419,2025-01-30,NFLX,143,324.8,C4269
T000420,2025-01-19,GOOGL,-124,100.25,C4082
T000421,2025-01-17,NFLX,-355,572.37,C3240
T000422,2025-03-04,TSLA,-287,310.69,C2596
T000423,2025-01-19,NFLX,318,273.7,C3095
T000424,2025-02-27,MSFT,144,777.6,C3592
T000425,2025-02-24,MSFT,-425,97.12,C3309
T000426,2025-03-31,NFLX,52,746.44,C2707
T000427,2025-03-31,GOOGL,-176,531.48,C0047
T000428,2025-03-03,AMZN,811,389.79,C1963
T000429,2025-01-23,AMZN,823,377.73,C4932
T000430,2025-01-09,META,-313,132.86,C2090
T000431,2025-01-12,NFLX,76,650.93,C3821
T000432,2025-01-01,MSFT,-371,216.08,C3290
T000433,2025-02-27,META,750,691.54,C3881
T000434,2025-01-01,AAPL,-493,695.18,C3063
T000435,2025-02-03,MSFT,-443,644.8,C0147
T000436,2025-02-17,META,62,790.83,C3302
T000437,2025-03-30,NFLX,451,594.32,C0776
T000438,2025-01-01,AMZN,334,702.43,C0602
T000439,2025-01-16,MSFT,-29,533.63,C1441
T000440,2025-03-02,AAPL,-400,797.76,C2026
T000441,2025-03-05,TSLA,9,318.12,C2141
T000442,2025-03-04,MSFT,-93,253.19,C1471
T000443,2025-03-10,GOOGL,674,465.6,C2440
T000444,2025-01-22,AAPL,801,451.16,C2759
T000445,2025-03-08,MSFT,24,433.31,C3623
T000446,2025-03-17,AMZN,276,174.22,C0444
T000447,2025-01-26,META,-94,262.99,C0296
T000448,2025-01-16,MSFT,-220,179.08,C2686
T000449,2025-02-20,META,481,214.29,C1711
T000450,2025-03-27,AMZN,884,730.38,C1059
T000451,2025-02-26,NFLX,698,74.0,C3784
T000452,2025-01-29,GOOGL,582,675.75,C0468
T000453,2025-03-19,TSLA,621,170.79,C3625
T000454,2025-03-10,AMZN,223,299.59,C1207
T000455,2025-02-16,MSFT,191,522.72,C0639
T000456,2025-03-03,GOOGL,-204,772.24,C2552
T000457,2025-03-10,AAPL,412,660.76,C4824
T000458,2025-03-17,MSFT,-77,770.79,C3943
T000459,2025-01-16,META,551,791.62,C3039
T000460,2025-03-31,NFLX,521,633.73,C2097
T000461,2025-03-31,NFLX,52,115.1,C4293
T000462,2025-02-17,META,-167,58.49,C4540
T000463,2025-03-26,NFLX,84,765.9,C1222
T000464,2025-02-08,META,529,580.23,C3528
T000465,2025-02-02,NFLX,417,190.58,C4009
T000466,2025-01-23,AAPL,524,565.04,C4952
